loss,val_loss
12.702226,8.3344
7.9582644,7.540232
7.139968,6.8873067
6.809919,6.7356005
6.693438,6.663142
6.627639,6.6090746
6.5756397,6.573891
6.6294365,6.574346
6.5877542,6.5656967
6.510692,6.5006356
6.46106,6.460642
6.4357076,6.449313
6.419429,6.456763
6.4108057,6.4180183
6.388343,6.4012227
6.57303,6.633889
6.432651,6.4087977
6.3727374,6.382588
6.3546896,6.375792
6.3428082,6.3702407
6.335279,6.369126
6.325923,6.3527684
6.322283,6.350679
6.317503,6.3488355
6.320718,6.3468847
6.3083544,6.342149
6.30156,6.332444
6.298283,6.335377
6.301615,6.478564
6.539503,6.4550424
6.3653336,6.381522
6.335066,6.341487
